Price,Close,High,Low,Open,Volume,Return,Direction,Lag_1,Lag_2,Lag_3
Ticker,^N225,^N225,^N225,^N225,^N225,,,,,
Date,,,,,,,,,,
2005-01-11,11539.990234375,11580.6904296875,11495.4599609375,11495.4599609375,87800000,0.009336810721342736,1,-0.005135589732015666,0.004786023247911109,-0.006965810922272109
2005-01-12,11453.3896484375,11548.8896484375,11449.490234375,11537.599609375,85000000,-0.0075043898806375076,0,0.009336810721342736,-0.005135589732015666,0.004786023247911109
2005-01-13,11358.2197265625,11424.6796875,11355.0498046875,11398.9404296875,69400000,-0.008309323684625003,0,-0.0075043898806375076,0.009336810721342736,-0.005135589732015666
2005-01-14,11438.3896484375,11491.1796875,11320.490234375,11341.7998046875,111300000,0.00705831757132791,1,-0.008309323684625003,-0.0075043898806375076,0.009336810721342736
2005-01-17,11487.099609375,11535.8603515625,11453.8603515625,11475.2001953125,100500000,0.004258463160865755,1,0.00705831757132791,-0.008309323684625003,-0.0075043898806375076
2005-01-18,11423.259765625,11509.400390625,11401.3203125,11504.16015625,106500000,-0.00555752504295326,0,0.004258463160865755,0.00705831757132791,-0.008309323684625003
2005-01-19,11405.33984375,11486.9296875,11396.4296875,11467.740234375,89600000,-0.0015687222599038986,0,-0.00555752504295326,0.004258463160865755,0.00705831757132791
2005-01-20,11284.76953125,11335.1201171875,11259.26953125,11335.1201171875,86300000,-0.010571391484320514,0,-0.0015687222599038986,-0.00555752504295326,0.004258463160865755
2005-01-21,11238.3701171875,11290.1396484375,11222.240234375,11226.0703125,74600000,-0.004111684685629613,0,-0.010571391484320514,-0.0015687222599038986,-0.00555752504295326
2005-01-24,11289.490234375,11303.2099609375,11212.6298828125,11213.0302734375,75500000,0.004548712727419302,1,-0.004111684685629613,-0.010571391484320514,-0.0015687222599038986
2005-01-25,11276.91015625,11276.91015625,11214.599609375,11261.6201171875,81600000,-0.0011143176409059707,0,0.004548712727419302,-0.004111684685629613,-0.010571391484320514
2005-01-26,11376.5703125,11379.5703125,11329.419921875,11346.8095703125,108300000,0.00883754103465706,1,-0.0011143176409059707,0.004548712727419302,-0.004111684685629613
2005-01-27,11341.3095703125,11390.08984375,11316.2998046875,11390.08984375,85900000,-0.0030994175941371216,0,0.00883754103465706,-0.0011143176409059707,0.004548712727419302
2005-01-28,11320.580078125,11340.2802734375,11218.8798828125,11334.41015625,87800000,-0.0018277864702469504,0,-0.0030994175941371216,0.00883754103465706,-0.0011143176409059707
2005-01-31,11387.58984375,11467.5,11266.08984375,11296.990234375,88200000,0.005919287277025953,1,-0.0018277864702469504,-0.0030994175941371216,0.00883754103465706
2005-02-01,11384.400390625,11422.01953125,11330.0595703125,11422.01953125,103900000,-0.0002800814894777792,0,0.005919287277025953,-0.0018277864702469504,-0.0030994175941371216
2005-02-02,11407.1396484375,11447.2802734375,11399.6201171875,11432.33984375,103900000,0.001997404960495386,1,-0.0002800814894777792,0.005919287277025953,-0.0018277864702469504
2005-02-03,11389.349609375,11444.1796875,11344.41015625,11430.900390625,102800000,-0.001559553017739801,0,0.001997404960495386,-0.0002800814894777792,0.005919287277025953
2005-02-04,11360.400390625,11383.0498046875,11271.0400390625,11381.5,89000000,-0.002541779798046706,0,-0.001559553017739801,0.001997404960495386,-0.0002800814894777792
2005-02-07,11499.8603515625,11531.25,11381.7802734375,11393.0400390625,72700000,0.012275972337435048,1,-0.002541779798046706,-0.001559553017739801,0.001997404960495386
2005-02-08,11490.4296875,11519.0302734375,11464.33984375,11504.1201171875,105500000,-0.0008200677029280845,0,0.012275972337435048,-0.002541779798046706,-0.001559553017739801
2005-02-09,11473.349609375,11538.1298828125,11457.9599609375,11519.900390625,111200000,-0.0014864612194250837,0,-0.0008200677029280845,0.012275972337435048,-0.002541779798046706
2005-02-10,11553.5595703125,11553.73046875,11414.990234375,11434.8896484375,112200000,0.006990980286346371,1,-0.0014864612194250837,-0.0008200677029280845,0.012275972337435048
2005-02-14,11632.2001953125,11677.5703125,11626.419921875,11644.400390625,110400000,0.006806614404972766,1,0.006990980286346371,-0.0014864612194250837,-0.0008200677029280845
2005-02-15,11646.490234375,11676.259765625,11635.5703125,11648.6796875,75100000,0.0012284897803134243,1,0.006806614404972766,0.006990980286346371,-0.0014864612194250837
2005-02-16,11601.6796875,11684.91015625,11585.4599609375,11629.6904296875,82800000,-0.0038475580173278345,0,0.0012284897803134243,0.006806614404972766,0.006990980286346371
2005-02-17,11582.7197265625,11638.1796875,11574.0595703125,11583.83984375,73100000,-0.0016342427517567204,0,-0.0038475580173278345,0.0012284897803134243,0.006806614404972766
2005-02-18,11660.1201171875,11660.1201171875,11562.9296875,11562.9296875,75500000,0.006682402100043783,1,-0.0016342427517567204,-0.0038475580173278345,0.0012284897803134243
2005-02-21,11651.01953125,11690.490234375,11651.01953125,11682.1904296875,70200000,-0.0007804881807422781,0,0.006682402100043783,-0.0016342427517567204,-0.0038475580173278345
2005-02-22,11597.7099609375,11651.509765625,11592.0400390625,11636.4697265625,69000000,-0.0045755283620900755,0,-0.0007804881807422781,0.006682402100043783,-0.0016342427517567204
2005-02-23,11500.1796875,11510.759765625,11452.419921875,11510.759765625,75600000,-0.008409442361120734,0,-0.0045755283620900755,-0.0007804881807422781,0.006682402100043783
2005-02-24,11531.150390625,11557.8603515625,11507.2001953125,11513.83984375,65100000,0.002693062540463087,1,-0.008409442361120734,-0.0045755283620900755,-0.0007804881807422781
2005-02-25,11658.25,11677.2001953125,11585.4599609375,11585.83984375,74500000,0.011022283559698698,1,0.002693062540463087,-0.008409442361120734,-0.0045755283620900755
2005-02-28,11740.599609375,11754.900390625,11704.3203125,11742.009765625,93200000,0.007063633853708673,1,0.011022283559698698,0.002693062540463087,-0.008409442361120734
2005-03-01,11780.5302734375,11780.5302734375,11719.76953125,11734.1396484375,103300000,0.003401075361654904,1,0.007063633853708673,0.011022283559698698,0.002693062540463087
2005-03-02,11813.7099609375,11831.6904296875,11780.6103515625,11804.83984375,100500000,0.0028164850588103807,1,0.003401075361654904,0.007063633853708673,0.011022283559698698
2005-03-03,11856.4599609375,11856.4599609375,11790.91015625,11790.91015625,98500000,0.0036186769559567455,1,0.0028164850588103807,0.003401075361654904,0.007063633853708673
2005-03-04,11873.0498046875,11881.98046875,11769.669921875,11815.7900390625,99100000,0.0013992240352227459,1,0.0036186769559567455,0.0028164850588103807,0.003401075361654904
2005-03-07,11925.3603515625,11975.4599609375,11917.76953125,11935.7998046875,103800000,0.004405822239063495,1,0.0013992240352227459,0.0036186769559567455,0.0028164850588103807
2005-03-08,11886.91015625,11936.83984375,11878.8896484375,11936.83984375,86800000,-0.003224237606158531,0,0.004405822239063495,0.0013992240352227459,0.0036186769559567455
2005-03-09,11966.6904296875,11966.6904296875,11882.25,11882.25,105900000,0.006711607338560688,1,-0.003224237606158531,0.004405822239063495,0.0013992240352227459
2005-03-10,11864.91015625,11959.1796875,11863.5400390625,11892.3798828125,99000000,-0.008505298439491549,0,0.006711607338560688,-0.003224237606158531,0.004405822239063495
2005-03-11,11923.8896484375,11964.2099609375,11838.01953125,11838.01953125,177800000,0.004970917723842394,1,-0.008505298439491549,0.006711607338560688,-0.003224237606158531
2005-03-14,11850.25,11955.2900390625,11850.25,11947.2900390625,84500000,-0.006175807610493078,0,0.004970917723842394,-0.008505298439491549,0.006711607338560688
2005-03-15,11821.08984375,11912.8095703125,11785.16015625,11899.2001953125,87700000,-0.0024607207653847274,0,-0.006175807610493078,0.004970917723842394,-0.008505298439491549
2005-03-16,11873.1796875,11873.1796875,11793.0302734375,11822.1796875,72000000,0.004406517879359528,1,-0.0024607207653847274,-0.006175807610493078,0.004970917723842394
2005-03-17,11775.5,11808.0400390625,11754.98046875,11785.9501953125,86500000,-0.008226918994819643,0,0.004406517879359528,-0.0024607207653847274,-0.006175807610493078
2005-03-18,11879.8095703125,11922.5400390625,11790.9599609375,11792.2900390625,80000000,0.008858186090824116,1,-0.008226918994819643,0.004406517879359528,-0.0024607207653847274
2005-03-22,11841.9697265625,11889.1298828125,11830.9599609375,11867.33984375,89000000,-0.0031852230901546763,0,0.008858186090824116,-0.008226918994819643,0.004406517879359528
2005-03-23,11739.1201171875,11823.9697265625,11681.16015625,11823.9697265625,94500000,-0.008685177529570987,0,-0.0031852230901546763,0.008858186090824116,-0.008226918994819643
2005-03-24,11745.9697265625,11819.3701171875,11706.26953125,11741.169921875,88300000,0.0005834857558848494,1,-0.008685177529570987,-0.0031852230901546763,0.008858186090824116
2005-03-25,11761.099609375,11802.7001953125,11732.7998046875,11788.6796875,66400000,0.0012880914189898895,1,0.0005834857558848494,-0.008685177529570987,-0.0031852230901546763
2005-03-28,11792.2998046875,11816.7197265625,11709.7900390625,11709.7900390625,57400000,0.0026528297819730096,1,0.0012880914189898895,0.0005834857558848494,-0.008685177529570987
2005-03-29,11599.8203125,11809.66015625,11563.1201171875,11809.66015625,83700000,-0.016322472747087757,0,0.0026528297819730096,0.0012880914189898895,0.0005834857558848494
