Price,Close,High,Low,Open,Volume,Return,Direction,Lag_1,Lag_2,Lag_3
Ticker,^BSESN,^BSESN,^BSESN,^BSESN,^BSESN,,,,,
Date,,,,,,,,,,
2005-01-07,6420.4599609375,6440.169921875,6348.75,6374.18994140625,17800,0.008334627387242,1,-0.01415884419548552,-0.028893345318512176,-0.00422062954592739
2005-01-10,6308.5400390625,6469.08984375,6286.85009765625,6440.330078125,13200,-0.017431760739250457,0,0.008334627387242,-0.01415884419548552,-0.028893345318512176
2005-01-11,6222.8701171875,6329.89013671875,6208.81982421875,6317.39013671875,16200,-0.013579991780115819,0,-0.017431760739250457,0.008334627387242,-0.01415884419548552
2005-01-12,6102.740234375,6263.7099609375,6070.330078125,6250.35009765625,20800,-0.019304578201094436,0,-0.013579991780115819,-0.017431760739250457,0.008334627387242
2005-01-13,6221.06005859375,6242.9501953125,6138.0498046875,6138.0498046875,20200,0.01938798304936662,1,-0.019304578201094436,-0.013579991780115819,-0.017431760739250457
2005-01-14,6173.81982421875,6249.39013671875,6144.080078125,6232.419921875,18200,-0.007593598828827042,0,0.01938798304936662,-0.019304578201094436,-0.013579991780115819
2005-01-17,6194.06982421875,6232.97021484375,6087.5498046875,6202.740234375,19000,0.0032799791015221125,1,-0.007593598828827042,0.01938798304936662,-0.019304578201094436
2005-01-18,6192.35009765625,6267.60986328125,6173.08984375,6221.27978515625,21800,-0.00027764080988812445,0,0.0032799791015221125,-0.007593598828827042,0.01938798304936662
2005-01-19,6173.31982421875,6230.6201171875,6160.66015625,6211.27978515625,16600,-0.0030731908140502195,0,-0.00027764080988812445,0.0032799791015221125,-0.007593598828827042
2005-01-20,6183.240234375,6197.2099609375,6091.080078125,6170.330078125,26600,0.0016069814036412389,1,-0.0030731908140502195,-0.00027764080988812445,0.0032799791015221125
2005-01-24,6106.43017578125,6215.77978515625,6089.52001953125,6201.60009765625,18000,-0.01242229893749458,0,0.0016069814036412389,-0.0030731908140502195,-0.00027764080988812445
2005-01-25,6162.97998046875,6174.0,6069.330078125,6093.66015625,21400,0.009260697831571463,1,-0.01242229893749458,0.0016069814036412389,-0.0030731908140502195
2005-01-27,6239.43017578125,6252.240234375,6188.3798828125,6188.3798828125,22200,0.012404745034833908,1,0.009260697831571463,-0.01242229893749458,0.0016069814036412389
2005-01-28,6419.08984375,6430.72021484375,6245.259765625,6245.259765625,23600,0.028794242888735333,1,0.012404745034833908,0.009260697831571463,-0.01242229893749458
2005-01-31,6555.93994140625,6565.0,6455.5498046875,6463.52001953125,22000,0.021319236992686008,1,0.028794242888735333,0.012404745034833908,0.009260697831571463
2005-02-01,6552.47021484375,6586.25,6508.990234375,6565.2099609375,28400,-0.0005292492904923618,0,0.021319236992686008,0.028794242888735333,0.012404745034833908
2005-02-02,6530.06005859375,6600.02001953125,6510.419921875,6560.6201171875,88400,-0.003420108068440064,0,-0.0005292492904923618,0.021319236992686008,0.028794242888735333
2005-02-03,6619.97021484375,6630.68017578125,6550.75,6550.75,14400,0.013768656864292739,1,-0.003420108068440064,-0.0005292492904923618,0.021319236992686008
2005-02-04,6618.22998046875,6684.16015625,6571.509765625,6635.85009765625,16800,-0.0002628764659843297,0,0.013768656864292739,-0.003420108068440064,-0.0005292492904923618
2005-02-07,6535.169921875,6658.330078125,6514.85986328125,6652.330078125,12400,-0.012550192247605674,0,-0.0002628764659843297,0.013768656864292739,-0.003420108068440064
2005-02-08,6544.77001953125,6573.93017578125,6508.330078125,6528.81005859375,12600,0.0014689897540560715,1,-0.012550192247605674,-0.0002628764659843297,0.013768656864292739
2005-02-09,6593.52978515625,6613.5400390625,6553.39990234375,6556.52978515625,13000,0.007450187780393858,1,0.0014689897540560715,-0.012550192247605674,-0.0002628764659843297
2005-02-10,6577.830078125,6608.9599609375,6533.97021484375,6600.85009765625,12600,-0.002381077744820992,0,0.007450187780393858,0.0014689897540560715,-0.012550192247605674
2005-02-11,6633.759765625,6640.10986328125,6594.31982421875,6594.31982421875,15200,0.008502756507194897,1,-0.002381077744820992,0.007450187780393858,0.0014689897540560715
2005-02-14,6679.330078125,6719.169921875,6659.64013671875,6673.39013671875,13600,0.0068694547451262356,1,0.008502756507194897,-0.002381077744820992,0.007450187780393858
